age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
40,0,F,Other,Male,1,21,1
31,0,F,Other,Male,3,0,1
34,0,F,Other,Female,5,1,1
23,1,M,African-American,Male,3,13,1
27,1,M,Other,Male,0,4,1
26,0,F,African-American,Female,3,27,1
49,0,F,African-American,Male,1,24,1
47,0,M,Other,Female,0,1,1
47,0,F,African-American,Male,6,5,1
34,1,F,African-American,Male,7,0,1
27,0,F,African-American,Male,10,7,0
52,0,M,Other,Female,0,0,1
26,1,M,African-American,Male,0,0,1
25,0,F,African-American,Male,9,2,1
51,0,F,African-American,Male,1,162,1
29,0,M,African-American,Female,1,-1,1
46,0,F,Other,Male,0,0,1
28,0,F,Other,Male,6,2,1
57,0,F,African-American,Male,0,1,1
23,0,F,Other,Male,2,0,1
34,1,F,African-American,Male,27,118,0
27,0,F,African-American,Male,3,12,1
25,1,M,African-American,Male,7,3,0
31,1,F,Other,Male,1,32,1
37,0,F,African-American,Male,8,1,1
51,1,F,African-American,Male,0,1,1
28,0,F,African-American,Male,8,40,1
56,0,F,Other,Male,4,7,1
45,1,F,African-American,Male,15,330,0
26,1,F,Other,Male,7,18,1
33,1,F,Other,Male,7,1,0
23,0,M,Other,Male,0,1,1
31,0,M,African-American,Male,0,0,1
31,0,M,Other,Male,0,1,1
19,0,F,Other,Male,1,4,0
32,0,F,Other,Male,0,0,1
30,1,M,Other,Male,1,0,1
66,0,F,Other,Male,1,0,1
40,0,F,African-American,Female,0,-1,1
59,0,M,African-American,Male,4,0,1
27,0,M,African-American,Male,3,1,1
22,0,F,African-American,Male,0,0,1
58,0,F,Other,Male,1,0,1
29,0,F,Other,Male,2,2,1
27,1,F,African-American,Male,0,60,0
24,0,F,Other,Male,0,1,1
35,0,F,Other,Female,3,0,1
29,1,F,African-American,Male,7,2,0
30,1,F,African-American,Male,5,2,0
23,0,F,African-American,Male,1,2,1
32,1,F,Other,Male,2,0,1
22,0,F,Other,Male,2,3,1
21,0,M,African-American,Male,0,1,1
43,0,M,Other,Female,0,-1,1
29,0,F,African-American,Male,0,2,0
43,0,F,African-American,Male,1,1,1
25,0,F,African-American,Male,1,2,1
47,0,M,Other,Male,0,1,1
21,0,F,African-American,Female,0,0,1
54,0,M,Other,Male,0,-1,1
34,1,F,African-American,Male,3,33,1
28,0,M,African-American,Female,2,1,1
53,1,F,Other,Female,4,0,1
54,0,M,African-American,Male,0,-1,1
37,1,F,Other,Male,3,83,1
34,0,F,African-American,Male,2,0,1
60,1,F,Other,Female,0,1,1
22,0,F,African-American,Male,0,1,1
51,0,F,African-American,Male,3,-1,1
29,1,F,African-American,Male,0,12,1
28,0,M,African-American,Male,5,27,1
33,1,F,Other,Male,0,0,1
43,0,M,Other,Male,4,2,1
45,0,M,Other,Male,1,26,1
32,1,F,Other,Male,5,65,1
35,1,F,African-American,Female,0,1,1
23,1,F,African-American,Male,1,1,1
41,0,M,Other,Male,1,113,1
25,1,F,Other,Male,24,0,0
35,0,F,Other,Male,12,10,0
25,1,F,African-American,Male,4,43,1
69,1,F,Other,Male,6,1,1
24,0,M,Other,Male,0,1,1
28,0,F,Other,Male,0,0,1
47,1,F,African-American,Male,23,403,1
29,1,F,African-American,Male,13,1,0
26,1,F,African-American,Male,9,2,0
31,0,M,Other,Male,0,2,1
28,0,F,Other,Male,0,1,1
48,1,M,Other,Male,1,0,1
44,0,M,Other,Male,0,0,1
42,0,M,African-American,Male,7,0,1
39,0,F,African-American,Male,5,4,1
46,0,F,Other,Female,2,3,1
55,0,M,Other,Male,0,10,1
27,1,F,African-American,Male,5,4,0
31,0,M,Other,Female,0,4,0
25,0,F,African-American,Male,0,0,1
32,0,M,Other,Male,6,0,1
36,0,F,African-American,Male,2,0,1
21,1,F,African-American,Male,3,4,1
39,0,M,Other,Male,2,-1,1
26,0,M,African-American,Female,0,-1,1
28,1,F,African-American,Male,8,20,0
67,1,M,Other,Male,2,0,1
22,0,F,Other,Female,0,2,1
37,0,M,Other,Male,3,0,1
23,1,M,African-American,Male,2,2,0
49,1,M,African-American,Female,14,122,1
32,1,M,Other,Male,9,4,1
41,0,M,Other,Male,9,32,1
25,0,M,African-American,Male,1,0,1
58,0,M,Other,Male,0,0,1
44,1,M,African-American,Male,19,17,0
28,0,F,African-American,Male,1,15,1
39,1,F,African-American,Female,0,2,1
54,0,F,Other,Male,0,6,1
43,0,M,Other,Male,0,0,1
31,0,M,African-American,Male,5,0,0
30,0,F,African-American,Male,11,117,0
27,1,M,Other,Male,4,1,1
28,1,M,African-American,Male,0,1,1
24,0,M,African-American,Male,0,0,1
43,0,M,Other,Male,0,0,1
44,1,M,African-American,Male,10,5,1
24,1,F,Other,Male,11,0,0
23,0,F,African-American,Male,0,1,1
36,1,M,Other,Male,5,0,1
27,0,F,Other,Male,1,1,0
24,1,F,African-American,Male,0,1,0
66,0,M,Other,Male,0,0,1
36,0,F,Other,Female,3,25,1
53,1,F,Other,Male,9,130,0
23,1,F,Other,Male,1,0,1
22,1,M,African-American,Female,0,0,1
25,0,F,Other,Male,1,0,1
56,0,F,African-American,Male,4,2,1
51,1,F,Other,Male,1,1,1
58,0,M,African-American,Female,3,18,1
24,0,M,Other,Male,3,0,1
22,1,F,African-American,Male,0,71,1
39,0,M,Other,Male,0,0,1
20,1,F,Other,Male,3,42,0
46,1,F,Other,Male,10,73,1
38,1,F,Other,Male,1,0,1
23,1,M,Other,Male,0,3,0
39,0,F,Other,Male,6,26,1
25,0,F,African-American,Male,0,1,0
31,1,F,African-American,Male,19,0,0
25,1,M,African-American,Female,1,0,1
26,0,F,African-American,Male,6,1,1
25,0,F,African-American,Male,2,274,0
37,1,F,Other,Male,11,1,0
36,0,F,African-American,Male,0,0,1
26,1,F,African-American,Male,1,0,1
21,1,F,Other,Male,3,0,1
35,1,F,African-American,Male,7,0,1
22,1,F,African-American,Male,2,1,1
25,0,F,Other,Male,0,0,1
36,0,M,Other,Male,0,1,1
24,1,M,African-American,Male,2,12,1
21,1,F,African-American,Male,0,0,0
32,1,F,Other,Male,15,70,0
33,1,M,African-American,Male,2,-1,1
33,1,F,African-American,Male,10,2,0
29,0,M,Other,Male,0,0,1
50,0,F,Other,Male,8,172,1
33,1,F,African-American,Male,14,2,0
37,1,F,African-American,Male,13,0,0
27,1,F,African-American,Male,9,24,1
27,0,M,African-American,Male,0,1,1
21,1,M,Other,Male,1,0,1
58,0,F,African-American,Male,1,60,1
27,0,F,African-American,Male,4,33,0
28,1,F,Other,Male,1,30,1
31,0,M,Other,Female,0,0,1
24,0,M,African-American,Male,3,6,1
26,1,F,African-American,Male,6,18,0
43,0,M,Other,Male,0,1,1
22,1,F,African-American,Male,3,1,1
23,0,F,African-American,Male,0,3,1
42,0,M,Other,Male,0,0,1
30,0,M,African-American,Male,18,17,0
29,0,F,African-American,Male,1,290,0
38,1,F,Other,Male,2,47,1
26,0,M,Other,Male,3,2,1
51,0,M,African-American,Male,5,4,1
36,0,M,Other,Male,0,-1,1
62,0,M,Other,Male,0,1,1
23,1,F,African-American,Male,0,0,1
34,1,F,African-American,Male,7,0,1
35,0,M,African-American,Male,1,1,1
22,0,F,Other,Male,0,3,1
29,1,M,African-American,Male,10,108,0
40,0,F,African-American,Male,0,1,1
36,0,F,African-American,Male,2,0,1
26,1,F,African-American,Male,8,0,0
25,1,F,African-American,Male,1,0,1
69,0,M,Other,Male,0,0,1
27,0,F,African-American,Male,1,8,1
20,1,F,Other,Male,0,1,1
27,0,F,African-American,Male,1,2,1
24,0,M,African-American,Female,6,310,1
42,0,F,Other,Male,0,2,1
25,0,F,Other,Male,1,1,1
25,0,F,African-American,Male,0,7,1
22,0,F,African-American,Male,0,0,1
21,0,F,Other,Male,0,0,1
30,0,M,African-American,Male,1,1,1
46,0,M,Other,Male,9,4,1
26,0,M,African-American,Male,2,0,1
33,1,F,African-American,Male,0,0,1
40,0,M,African-American,Male,1,1,1
34,0,F,Other,Male,0,28,1
22,1,F,Other,Male,1,36,1
28,0,M,Other,Male,3,0,1
31,1,M,African-American,Male,4,1,1
59,1,M,Other,Male,3,1,1
37,0,F,Other,Male,0,0,1
50,0,F,African-American,Male,0,2,1
57,1,F,African-American,Male,8,99,1
31,0,M,African-American,Male,5,0,1
44,0,F,African-American,Male,9,25,0
48,1,F,African-American,Male,5,242,0
25,0,F,Other,Female,0,1,1
51,0,M,African-American,Male,5,0,1
50,1,F,Other,Male,0,0,1
57,0,F,Other,Male,2,2,1
55,0,M,Other,Male,0,0,1
59,1,F,African-American,Male,4,1,1
42,0,F,African-American,Female,0,0,1
20,1,F,Other,Male,2,21,0
21,0,F,Other,Male,0,28,1
32,1,F,African-American,Male,21,64,0
24,0,M,Other,Female,0,0,1
42,0,F,African-American,Male,1,1,1
29,1,F,African-American,Male,8,13,0
21,0,F,African-American,Male,1,7,1
58,0,M,Other,Male,0,0,1
22,1,F,African-American,Male,1,0,1
46,1,M,Other,Male,1,0,1
50,1,M,Other,Male,0,14,1
46,0,F,African-American,Male,2,0,0
44,1,F,African-American,Female,11,15,0
35,0,M,African-American,Male,4,29,1
30,1,F,African-American,Male,14,2,0
42,0,F,African-American,Male,2,0,1
46,1,F,African-American,Male,5,202,1
42,1,F,African-American,Male,0,34,0
29,1,F,Other,Male,7,1,0
32,0,F,African-American,Male,8,4,1
31,0,F,Other,Male,5,3,1
33,0,M,African-American,Female,1,1,1
25,0,F,Other,Male,4,183,1
33,0,M,African-American,Female,0,1,1
21,0,F,Other,Male,1,0,1
35,1,F,Other,Male,1,49,1
56,0,F,African-American,Male,1,2,1
38,1,M,Other,Male,0,2,1
40,0,M,African-American,Female,4,1,1
28,0,F,African-American,Male,4,1,1
51,0,M,African-American,Male,0,1,1
35,0,M,African-American,Male,2,1,1
61,0,F,African-American,Male,5,12,1
25,0,F,African-American,Male,0,1,1
25,1,F,African-American,Male,4,0,1
26,0,M,African-American,Male,0,0,1
42,0,M,Other,Male,1,2,1
25,0,F,African-American,Female,1,0,1
26,1,M,African-American,Male,13,-1,0
31,0,F,African-American,Male,9,0,1
35,0,F,Other,Male,1,1,1
34,0,F,Other,Male,0,116,1
33,0,M,Other,Female,1,0,1
30,0,F,African-American,Male,3,0,1
50,0,M,African-American,Female,7,1,1
21,0,F,African-American,Male,0,50,1
31,1,F,Other,Male,16,482,0
31,1,F,African-American,Male,2,3,1
23,0,M,African-American,Female,0,0,1
25,0,F,African-American,Male,1,1,1
24,0,F,Other,Female,1,1,1
31,1,M,African-American,Male,13,0,0
60,0,F,African-American,Male,0,2,1
30,0,F,African-American,Male,2,0,1
32,0,M,Other,Female,0,0,1
46,0,M,Other,Male,0,-1,1
21,1,M,Other,Male,0,0,1
35,0,F,African-American,Male,0,1,0
34,1,F,Other,Male,2,9,1
41,1,F,Other,Male,2,161,0
23,1,F,African-American,Male,1,15,0
23,1,F,African-American,Male,3,1,1
28,0,M,African-American,Male,2,2,1
21,1,F,Other,Male,0,0,1
46,0,M,Other,Male,2,3,1
56,0,F,African-American,Male,1,0,1
40,1,F,Other,Male,8,0,1
30,1,F,Other,Male,5,2,1
24,1,M,African-American,Male,1,0,1
33,0,M,Other,Female,0,0,1
48,0,M,Other,Male,2,4,0
33,1,F,African-American,Male,11,44,1
25,0,F,Other,Male,0,0,1
30,1,F,African-American,Male,7,0,1
37,1,F,Other,Male,0,2,1
43,0,F,Other,Female,7,8,0
32,0,F,Other,Male,0,1,1
33,0,F,Other,Male,3,0,1
39,1,F,Other,Male,4,0,1
49,0,F,Other,Male,4,5,1
24,0,F,Other,Male,0,18,1
26,0,F,African-American,Male,1,-1,0
42,0,F,Other,Male,0,1,1
22,1,F,African-American,Male,1,6,1
36,0,F,Other,Male,0,0,1
29,1,M,Other,Male,7,27,1
39,0,M,Other,Male,0,18,1
27,1,F,African-American,Male,13,14,1
38,1,F,Other,Male,2,7,1
20,1,F,Other,Male,0,3,1
25,1,F,African-American,Male,4,86,0
53,0,M,Other,Male,0,0,1
27,1,M,African-American,Female,0,6,0
21,1,F,Other,Male,0,6,1
50,1,M,Other,Male,1,5,1
41,0,F,African-American,Male,4,0,1
22,1,F,Other,Male,5,4,0
22,1,F,Other,Male,0,2,1
25,0,F,African-American,Male,2,26,1
42,1,F,African-American,Male,1,1,1
51,0,F,Other,Male,2,1,1
24,0,F,African-American,Male,0,-1,1
37,0,F,African-American,Male,4,92,1
37,0,M,Other,Male,0,0,1
27,0,M,Other,Female,0,0,1
21,0,F,Other,Male,0,5,1
35,1,F,African-American,Male,1,1,1
24,0,F,Other,Female,0,36,0
49,0,M,Other,Male,2,1,1
38,0,F,African-American,Male,9,2,1
61,0,M,Other,Male,0,0,1
30,0,M,African-American,Female,0,0,1
22,0,F,African-American,Male,3,128,1
25,1,F,African-American,Male,0,1,1
30,1,M,Other,Female,3,1,1
52,0,M,Other,Male,0,0,1
26,0,F,Other,Male,0,0,1
26,0,M,Other,Male,0,1,1
45,1,F,Other,Male,9,54,0
20,1,F,African-American,Male,0,0,0
29,0,F,African-American,Male,4,80,0
43,1,F,Other,Male,1,69,1
26,0,F,Other,Male,2,0,1
46,0,F,African-American,Female,4,0,1
46,0,F,African-American,Female,0,1,1
29,1,F,African-American,Male,12,5,0
41,0,M,Other,Male,0,-1,1
25,0,F,African-American,Female,5,0,1
23,0,F,African-American,Male,2,18,1
30,0,M,Other,Male,0,0,1
34,0,F,Other,Male,1,2,1
70,1,F,Other,Male,11,12,1
52,0,F,Other,Male,2,1,1
51,0,M,African-American,Male,4,7,1
45,1,F,Other,Female,15,1,0
55,1,F,African-American,Male,21,85,1
49,0,F,Other,Female,1,1,1
47,0,F,Other,Female,0,0,1
27,0,M,African-American,Male,0,1,1
25,1,M,Other,Male,5,0,1
21,1,F,African-American,Male,1,59,0
37,1,F,African-American,Male,26,1,0
21,1,F,African-American,Male,1,49,0
21,0,F,African-American,Male,0,1,1
25,1,F,African-American,Male,4,0,0
27,1,F,African-American,Female,3,1,1
30,1,F,Other,Male,3,12,1
70,0,M,Other,Male,0,0,1
37,1,F,Other,Male,11,0,0
46,1,F,African-American,Male,5,2,1
40,1,M,Other,Male,4,2,1
43,1,F,African-American,Male,18,9,1
38,0,F,African-American,Male,15,55,1
29,0,F,African-American,Male,0,0,1
37,1,M,African-American,Male,8,1,1
38,0,F,Other,Male,3,0,1
27,0,F,Other,Female,0,0,1
20,1,M,Other,Female,0,10,1
44,0,M,Other,Male,0,0,1
31,0,M,Other,Male,6,1,1
29,1,F,African-American,Male,3,1,1
30,0,M,African-American,Female,0,0,1
25,1,F,Other,Female,2,11,1
40,0,F,African-American,Male,3,1,1
33,0,M,Other,Male,1,1,1
26,1,F,Other,Male,5,1,1
31,0,M,Other,Male,1,1,1
61,0,M,Other,Male,1,0,1
30,0,F,Other,Male,2,0,1
62,0,M,Other,Male,0,2,1
27,1,M,Other,Female,4,54,0
48,0,F,Other,Male,9,1,1
40,0,F,Other,Female,0,1,1
24,0,F,Other,Male,0,2,1
22,1,F,African-American,Male,0,1,1
30,1,M,African-American,Male,4,15,0
63,0,M,Other,Male,0,0,1
33,0,F,African-American,Male,4,1,0
43,1,M,Other,Male,0,1,1
26,1,F,African-American,Male,3,33,0
51,0,F,African-American,Male,1,7,1
39,1,F,Other,Male,3,1,1
30,1,M,Other,Female,0,1,1
32,1,F,African-American,Male,14,1,0
22,0,M,African-American,Male,0,0,1
59,0,F,Other,Male,0,0,1
38,1,M,African-American,Male,37,30,1
23,0,F,African-American,Male,2,237,1
42,1,M,African-American,Male,0,1,1
38,1,F,African-American,Male,2,192,1
34,0,F,Other,Female,2,1,1
36,1,F,African-American,Female,7,2,1
36,1,M,African-American,Male,0,1,1
31,0,F,African-American,Male,1,13,1
28,1,F,African-American,Female,3,4,1
28,1,F,African-American,Male,1,0,1
43,0,F,African-American,Male,0,1,1
40,0,F,African-American,Male,1,1,1
31,1,F,African-American,Male,15,2,0
54,1,F,African-American,Male,6,13,1
24,1,F,African-American,Male,17,130,0
41,1,F,Other,Male,0,1,1
21,1,F,African-American,Male,1,242,0
29,1,F,Other,Female,1,1,1
22,0,F,African-American,Male,0,0,1
52,1,F,Other,Male,9,33,1
40,0,F,Other,Female,0,1,1
45,0,F,African-American,Female,1,6,1
29,1,M,African-American,Male,1,0,1
46,1,F,African-American,Male,10,9,1
21,0,F,Other,Male,1,12,0
35,1,F,Other,Male,6,1,1
52,1,M,African-American,Male,1,70,1
48,0,M,Other,Male,0,0,1
29,1,M,African-American,Female,9,214,0
48,0,M,Other,Male,0,1,1
31,1,F,African-American,Male,10,8,1
21,1,F,Other,Male,3,127,0
32,1,F,Other,Male,0,22,1
47,0,M,African-American,Male,0,3,1
21,1,F,African-American,Male,3,0,0
35,0,F,African-American,Male,13,0,0
46,1,M,African-American,Male,3,20,1
34,1,F,African-American,Male,5,5,1
52,0,F,African-American,Male,2,3,1
21,1,M,Other,Male,0,9,0
53,0,M,Other,Male,1,1,1
19,1,F,Other,Female,0,1,1
22,0,M,African-American,Male,0,2,1
45,0,F,African-American,Male,1,2,1
27,0,F,Other,Female,0,1,1
25,0,M,Other,Male,0,0,1
30,1,F,Other,Male,0,-1,1
31,1,F,African-American,Male,2,-1,1
28,0,F,Other,Male,3,1,1
36,1,M,African-American,Male,3,2,1
27,1,F,African-American,Male,7,10,1
42,0,F,African-American,Male,1,0,1
35,1,F,Other,Male,0,40,1
33,0,F,Other,Female,2,0,1
24,1,F,Other,Male,6,218,0
25,1,F,African-American,Male,21,2,0
42,0,M,Other,Female,0,1,1
21,1,F,African-American,Male,0,3,1
28,0,M,African-American,Female,0,0,1
27,1,F,African-American,Male,25,40,0
21,0,F,Other,Female,0,2,1
26,1,M,Other,Male,0,5,1
36,0,F,Other,Male,0,0,1
49,1,F,Other,Male,0,1,1
44,1,F,Other,Male,0,1,1
28,0,M,Other,Male,1,24,1
35,1,F,African-American,Female,12,0,1
34,0,F,African-American,Male,3,0,1
45,1,F,African-American,Male,15,0,1
28,1,F,African-American,Male,9,16,1
25,0,F,African-American,Female,1,4,1
21,0,M,African-American,Male,1,0,0
48,0,F,African-American,Male,1,0,1
37,0,M,Other,Male,1,0,1
24,1,F,African-American,Male,3,0,1
37,1,M,Other,Male,1,1,1
39,0,F,Other,Male,1,0,1
24,1,F,Other,Male,1,21,1
49,0,F,Other,Male,2,0,1
23,1,F,African-American,Male,1,1,1
43,0,F,Other,Male,5,0,1
28,1,M,African-American,Male,6,1,0
53,0,M,African-American,Male,1,0,1
27,1,M,African-American,Female,2,1,1
39,0,M,Other,Male,0,2,1
47,1,F,African-American,Male,22,1,1
28,1,F,African-American,Male,4,2,1
36,0,F,Other,Male,2,0,1
24,0,F,African-American,Female,1,3,0
35,0,M,Other,Male,0,1,1
23,0,F,African-American,Male,3,1,1
26,0,F,African-American,Male,2,1,1
31,1,F,African-American,Male,7,54,1
30,1,F,African-American,Female,14,5,0
25,0,M,Other,Male,2,1,1
24,1,F,African-American,Male,6,1,0
34,1,F,Other,Male,1,0,1
26,0,M,African-American,Male,2,28,1
60,0,F,Other,Male,0,1,1
20,0,F,African-American,Female,0,0,1
23,0,F,Other,Male,0,0,1
26,1,F,African-American,Male,5,6,1
40,0,M,Other,Male,4,1,1
28,1,F,Other,Male,1,1,1
49,1,F,Other,Male,1,5,1
19,1,F,African-American,Male,1,-1,0
53,0,F,Other,Male,1,11,1
24,0,F,African-American,Female,0,0,1
31,0,F,Other,Male,0,1,1
33,0,F,Other,Female,2,-1,1
26,1,F,Other,Male,8,41,0
32,0,F,Other,Male,2,0,1
25,1,F,Other,Male,0,3,1
21,0,F,African-American,Male,1,0,1
38,0,F,African-American,Male,3,1,1
23,0,F,Other,Male,0,1,1
20,1,F,Other,Male,0,8,1
39,1,F,Other,Female,4,1,1
24,1,F,African-American,Male,1,6,1
23,0,F,Other,Male,0,0,1
49,0,F,African-American,Male,3,0,1
31,1,F,African-American,Male,7,77,1
20,1,F,African-American,Male,1,16,1
28,0,M,Other,Male,0,13,1
67,0,F,Other,Male,3,1,1
33,0,F,Other,Male,0,1,1
52,0,F,African-American,Male,0,0,1
45,1,F,African-American,Male,17,46,1
27,1,F,African-American,Male,8,1,1
22,0,F,Other,Male,1,1,0
40,1,M,Other,Male,0,0,1
30,1,M,Other,Male,1,0,0
42,0,F,African-American,Male,1,0,1
24,1,F,African-American,Male,2,1,1
46,0,F,Other,Male,4,2,1
38,0,F,African-American,Male,4,-1,1
32,1,M,Other,Female,0,7,1
26,0,M,Other,Male,0,1,1
54,1,M,Other,Male,1,1,1
27,0,F,Other,Male,2,10,1
61,0,F,Other,Male,1,1,1
51,1,M,African-American,Male,1,0,1
57,0,F,Other,Male,0,27,1
24,1,M,Other,Male,3,1,1
34,0,F,African-American,Male,1,0,1
27,0,F,Other,Male,1,1,1
28,1,M,African-American,Female,10,3,1
35,1,M,African-American,Male,10,0,0
30,1,F,African-American,Male,6,1,1
44,0,F,African-American,Male,0,1,1
61,0,F,Other,Male,10,22,1
26,1,F,African-American,Male,1,0,0
48,1,F,African-American,Male,10,4,1
42,0,M,African-American,Male,4,0,1
38,1,F,Other,Male,10,0,0
53,0,M,Other,Female,0,0,1
26,0,M,African-American,Male,3,1,0
22,1,F,African-American,Male,1,0,1
50,0,F,Other,Male,0,30,1
44,0,M,Other,Male,16,81,1
24,1,F,African-American,Male,4,1,1
21,1,F,African-American,Male,0,1,1
50,0,F,Other,Male,0,2,1
36,0,M,Other,Female,0,1,1
39,0,F,Other,Male,0,54,1
54,0,F,African-American,Female,7,18,1
29,0,M,African-American,Male,0,0,1
26,0,M,Other,Male,0,0,1
41,1,F,African-American,Male,3,1,1
23,1,F,African-American,Male,1,2,1
34,0,M,Other,Male,0,0,1
31,1,F,Other,Male,11,11,1
20,0,F,African-American,Male,0,1,1
49,1,F,African-American,Male,10,43,1
26,1,F,African-American,Male,4,0,0
28,1,F,African-American,Male,1,0,1
26,0,F,African-American,Male,0,0,1
55,0,F,African-American,Male,1,0,1
22,0,M,African-American,Male,0,2,0
26,0,M,African-American,Female,0,1,1
56,0,M,Other,Male,0,1,1
46,0,F,Other,Male,2,1,1
58,1,F,African-American,Male,16,68,1
28,0,F,African-American,Male,4,29,1
33,0,F,African-American,Male,8,1,1
31,0,M,African-American,Female,0,0,1
26,0,M,African-American,Male,1,0,1
34,0,M,Other,Male,0,0,1
33,0,F,Other,Male,0,1,1
32,0,F,African-American,Female,0,0,1
37,1,F,African-American,Male,9,1,1
50,0,F,African-American,Male,1,0,1
35,0,F,Other,Male,1,2,1
47,1,M,Other,Female,0,4,1
52,0,F,African-American,Female,8,43,0
26,1,F,African-American,Male,5,6,1
45,1,F,African-American,Male,13,0,1
19,1,M,Other,Male,0,1,0
41,1,F,African-American,Male,8,1,1
24,0,M,African-American,Male,0,1,1
21,0,F,African-American,Male,1,1,0
54,0,M,Other,Male,0,0,1
49,0,F,Other,Male,0,73,1
42,0,F,Other,Male,1,292,1
21,1,F,African-American,Male,1,1,1
46,1,F,Other,Male,5,-1,0
74,0,M,Other,Male,0,0,1
38,0,F,Other,Female,0,0,1
39,0,F,African-American,Female,1,0,1
38,0,F,African-American,Female,0,4,1
19,1,F,African-American,Male,1,1,1
28,1,F,Other,Male,0,1,1
25,1,F,African-American,Male,1,28,1
53,0,M,Other,Male,1,0,1
23,0,F,African-American,Male,2,76,0
55,1,F,Other,Male,33,242,0
64,0,F,Other,Female,1,1,1
23,1,M,African-American,Male,1,27,1
23,1,F,African-American,Male,4,0,0
41,0,F,Other,Female,0,0,1
53,0,M,Other,Male,0,0,1
34,0,F,African-American,Male,0,2,1
24,1,F,Other,Male,0,1,1
26,0,M,African-American,Male,1,32,1
44,0,F,Other,Male,4,1,1
27,0,F,Other,Female,0,5,1
28,0,F,Other,Male,14,0,0
55,0,M,Other,Male,1,1,1
36,0,F,African-American,Male,15,1,1
23,0,F,African-American,Male,1,1,1
56,0,M,African-American,Male,1,0,1
27,1,F,Other,Male,2,0,1
37,0,M,Other,Male,1,1,1
32,1,F,African-American,Male,1,1,0
41,1,M,African-American,Male,18,33,0
22,1,F,African-American,Male,1,1,1
37,1,F,Other,Male,1,0,1
45,0,M,African-American,Male,3,1,1
31,0,F,African-American,Female,14,1,0
42,1,F,African-American,Male,7,1,1
26,1,F,African-American,Male,20,29,0
33,1,F,Other,Male,0,0,0
22,1,M,Other,Male,0,0,1
36,0,M,African-American,Female,1,-1,1
54,0,M,Other,Male,0,0,1
25,1,F,African-American,Male,5,155,0
24,1,F,Other,Male,3,39,1
23,0,M,Other,Male,0,1,1
61,0,M,Other,Male,0,0,1
42,0,M,Other,Female,0,0,1
28,1,M,Other,Male,1,-1,1
27,0,M,African-American,Male,1,2,1
24,0,M,Other,Male,2,15,1
32,1,F,African-American,Male,16,0,0
38,0,F,Other,Male,0,7,1
21,0,M,Other,Male,1,0,1
27,1,F,African-American,Male,1,168,1
39,0,F,Other,Male,0,-1,1
29,0,F,Other,Male,0,1,1
29,0,F,Other,Male,1,0,1
36,1,F,Other,Male,1,2,1
46,1,F,African-American,Male,0,0,1
44,0,F,African-American,Male,7,24,1
27,0,M,African-American,Male,0,1,1
27,1,F,African-American,Male,8,49,1
61,0,M,Other,Male,0,2,1
47,1,M,African-American,Male,0,0,1
27,0,M,African-American,Male,1,0,1
28,1,F,Other,Male,0,1,1
31,1,M,Other,Female,1,10,1
26,1,M,Other,Male,9,1,1
53,1,F,African-American,Male,2,7,1
26,1,F,African-American,Male,1,22,1
25,0,F,African-American,Male,2,18,1
23,1,M,Other,Male,5,32,0
21,1,M,African-American,Female,4,0,0
23,0,M,African-American,Male,1,2,1
30,0,M,Other,Male,3,0,1
45,0,F,African-American,Female,2,11,1
27,1,M,African-American,Male,2,9,1
26,0,M,African-American,Female,0,0,1
21,1,F,Other,Male,0,7,0
62,0,M,Other,Female,0,3,1
48,0,F,Other,Male,0,27,1
53,0,M,African-American,Male,1,0,1
62,1,M,African-American,Male,3,1,1
28,0,F,African-American,Male,5,136,0
56,0,F,Other,Male,1,1,1
35,0,F,Other,Male,2,8,1
56,1,M,Other,Female,2,49,1
22,1,F,African-American,Male,2,1,1
26,1,F,African-American,Male,5,36,0
35,0,M,African-American,Male,4,1,1
22,1,F,African-American,Male,1,15,1
37,0,F,African-American,Female,7,1,1
32,0,F,African-American,Female,0,0,1
33,1,F,African-American,Female,3,9,1
38,1,F,Other,Male,2,0,1
53,0,M,Other,Male,0,1,1
32,0,M,Other,Male,0,0,1
26,0,M,Other,Male,0,0,1
61,0,M,Other,Male,0,2,1
21,0,M,African-American,Male,0,0,0
69,0,M,African-American,Male,22,1,1
26,0,M,African-American,Male,0,0,1
30,1,F,African-American,Male,9,196,0
21,0,F,Other,Male,1,0,1
41,0,M,Other,Male,0,0,1
45,1,F,African-American,Male,0,0,1
31,1,F,African-American,Male,10,1,1
22,0,F,Other,Male,0,1,1
54,1,F,Other,Female,0,20,1
50,1,M,Other,Male,2,0,1
37,0,F,Other,Male,11,1,1
21,1,F,African-American,Female,0,1,0
23,1,M,Other,Male,6,5,1
30,1,F,Other,Male,0,0,1
30,1,F,African-American,Male,11,2,0
26,0,M,Other,Male,5,0,1
59,0,M,African-American,Female,0,0,1
29,1,F,African-American,Male,13,1,0
67,0,F,Other,Male,0,0,1
30,1,F,Other,Male,13,33,0
25,1,M,African-American,Male,5,0,1
45,0,F,Other,Male,8,1,1
22,0,F,African-American,Male,0,-1,1
41,1,F,African-American,Male,8,2,1
46,1,F,Other,Male,3,59,1
27,0,M,Other,Male,0,1,1
37,0,F,African-American,Female,13,1,1
22,1,F,African-American,Male,0,13,1
19,1,F,African-American,Male,0,0,1
45,0,M,Other,Male,2,0,1
33,1,F,African-American,Female,5,0,0
52,0,F,African-American,Male,7,181,1
